inchikey,num_peaks
MBMQEIFVQACCCH-QBODLPLBSA-N,222
AJLFOPYRIVGYMJ-INTXDZFKSA-N,101
RHMXXJGYXNZAPX-UHFFFAOYSA-N,61
BEJNERDRQOWKJM-UHFFFAOYSA-N,23
DDUHZTYCFQRHIY-RBHXEPJQSA-N,30
WVVSZNPYNCNODU-XTQGRXLLSA-N,28
DGMPVYSXXIOGJY-UHFFFAOYSA-N,89
HRKAMJBPFPHCSD-UHFFFAOYSA-N,49
GWVUTNGDMGTPFE-UHFFFAOYSA-N,125
BJQHLKABXJIVAM-UHFFFAOYSA-N,52
DQWPFSLDHJDLRL-UHFFFAOYSA-N,65
PZBQVZFITSVHAW-UHFFFAOYSA-N,108
WTLBZVNBAKMVDP-UHFFFAOYSA-N,162
XZZNDPSIHUTMOC-UHFFFAOYSA-N,378
HBGGXOJOCNVPFY-UHFFFAOYSA-N,64
PYGXAGIECVVIOZ-UHFFFAOYSA-N,177
YSMRWXYRXBRSND-UHFFFAOYSA-N,93
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,164
RYUJRXVZSJCHDZ-UHFFFAOYSA-N,77
SAOKZLXYCUGLFA-UHFFFAOYSA-N,68
STCOOQWBFONSKY-UHFFFAOYSA-N,26
DOZRDZLFLOODMB-UHFFFAOYSA-N,45
GTVWRXDRKAHEAD-UHFFFAOYSA-N,83
HQUQLFOMPYWACS-UHFFFAOYSA-N,71
QZCLKYGREBVARF-UHFFFAOYSA-N,108
KRADHMIOFJQKEZ-UHFFFAOYSA-N,63
CMGDVUCDZOBDNL-UHFFFAOYSA-N,134
IZYUWBATGXUSIK-UHFFFAOYSA-N,6
HORIEOQXBKUKGQ-UHFFFAOYSA-N,97
ASLWPAWFJZFCKF-UHFFFAOYSA-N,27
RMLPZKRPSQVRAB-UHFFFAOYSA-N,98
ZVFDTKUVRCTHQE-UHFFFAOYSA-N,62
UHGULLIUJBCTEF-UHFFFAOYSA-N,174
FZUGPQWGEGAKET-UHFFFAOYSA-N,47
QRUDEWIWKLJBPS-UHFFFAOYSA-N,87
IOJUPLGTWVMSFF-UHFFFAOYSA-N,29
VHCNQEUWZYOAEV-UHFFFAOYSA-N,221
LVQDKIWDGQRHTE-UHFFFAOYSA-N,67
QELSKZZBTMNZEB-UHFFFAOYSA-N,10
JOFDPSBOUCXJCC-UHFFFAOYSA-N,97
ICNFHJVPAJKPHW-UHFFFAOYSA-N,123
ULGZDMOVFRHVEP-RWJQBGPGSA-N,321
XQVWYOYUZDUNRW-UHFFFAOYSA-N,70
MKUXAQIIEYXACX-UHFFFAOYSA-N,29
NDAUXUAQIAJITI-UHFFFAOYSA-N,174
LFTLOKWAGJYHHR-UHFFFAOYSA-N,6
DOOTYTYQINUNNV-UHFFFAOYSA-N,33
JZQKKSLKJUAGIC-UHFFFAOYSA-N,121
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,120
LNOOSYCKMKZOJB-UHFFFAOYSA-N,357
PUYXTUJWRLOUCW-UHFFFAOYSA-N,86
FRQMUZJSZHZSGN-HBNHAYAOSA-N,60
PQFRTXSWDXZRRS-UHFFFAOYSA-N,61
BCGWQEUPMDMJNV-UHFFFAOYSA-N,25
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,302
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,97
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,1591
AIFRHYZBTHREPW-UHFFFAOYSA-N,87
AYXYPKUFHZROOJ-ZETCQYMHSA-N,106
FOUWCSDKDDHKQP-UHFFFAOYSA-N,283
IVUXTESCPZUGJC-UHFFFAOYSA-N,71
VXTGHWHFYNYFFV-UHFFFAOYSA-N,40
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,62
DPSPPJIUMHPXMA-UHFFFAOYSA-N,114
PHNUZKMIPFFYSO-UHFFFAOYSA-N,93
SGTNSNPWRIOYBX-UHFFFAOYSA-N,258
JYGXADMDTFJGBT-VWUMJDOOSA-N,1007
FEBLZLNTKCEFIT-VSXGLTOVSA-N,778
HXAIQOCRALNGKB-UHFFFAOYSA-N,9
YQEZLKZALYSWHR-UHFFFAOYSA-N,152
WYEMLYFITZORAB-UHFFFAOYSA-N,259
GXPIUNZCALHVBA-UHFFFAOYSA-N,365
LFULEKSKNZEWOE-UHFFFAOYSA-N,49
KNAHARQHSZJURB-UHFFFAOYSA-N,53
MWBPRDONLNQCFV-UHFFFAOYSA-N,68
VEQOALNAAJBPNY-UHFFFAOYSA-N,2048
PXWLVJLKJGVOKE-UHFFFAOYSA-N,314
CHMBIJAOCISYEW-UHFFFAOYSA-N,41
WJCNZQLZVWNLKY-UHFFFAOYSA-N,137
FIQMHBFVRAXMOP-UHFFFAOYSA-N,147
RIZMRRKBZQXFOY-UHFFFAOYSA-N,87
WXURHACBFYSXBI-GQKYHHCASA-N,456
VHYFNPMBLIVWCW-UHFFFAOYSA-N,14
RNLHGQLZWXBQNY-UHFFFAOYSA-N,39
LRUDIIUSNGCQKF-UHFFFAOYSA-N,87
KIEDNEWSYUYDSN-UHFFFAOYSA-N,79
QHOQHJPRIBSPCY-UHFFFAOYSA-N,119
FSQKKOOTNAMONP-UHFFFAOYSA-N,95
FELGMEQIXOGIFQ-UHFFFAOYSA-N,50
XEGGRYVFLWGFHI-UHFFFAOYSA-N,44
IAKHMKGGTNLKSZ-INIZCTEOSA-N,2779
ZDPIZLCVJAAHHR-UHFFFAOYSA-N,32
DKMFBWQBDIGMHM-UHFFFAOYSA-N,26
WXCMHFPAUCOJIG-UHFFFAOYSA-N,9
PMRYVIKBURPHAH-UHFFFAOYSA-N,47
UFEODZBUAFNAEU-NLRVBDNBSA-N,376
FQKUGOMFVDPBIZ-UHFFFAOYSA-N,282
PROQIPRRNZUXQM-ZXXIGWHRSA-N,3
IMFACGCPASFAPR-UHFFFAOYSA-N,40
CYESCLHCWJKRKM-UHFFFAOYSA-N,127
OIGNJSKKLXVSLS-VWUMJDOOSA-N,392
ALZOLUNSQWINIR-UHFFFAOYSA-N,174
WYVVKGNFXHOCQV-UHFFFAOYSA-N,68
DFWFIQKMSFGDCQ-UHFFFAOYSA-N,136
IUBSYMUCCVWXPE-UHFFFAOYSA-N,451
ZOMSMJKLGFBRBS-UHFFFAOYSA-N,66
NAPNOSFRRMHNBJ-UHFFFAOYSA-N,15
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,129
XKJMBINCVNINCA-UHFFFAOYSA-N,191
GJPICJJJRGTNOD-UHFFFAOYSA-N,52
CJJOSEISRRTUQB-UHFFFAOYSA-N,160
LXCFILQKKLGQFO-UHFFFAOYSA-N,11
NTJOBXMMWNYJFB-UHFFFAOYSA-N,97
PMCBDBWCQQBSRJ-UHFFFAOYSA-N,65
KPUREKXXPHOJQT-UHFFFAOYSA-N,52
VOXZDWNPVJITMN-ZBRFXRBCSA-N,126
RZVAJINKPMORJF-UHFFFAOYSA-N,75
GFNANZIMVAIWHM-OBYCQNJPSA-N,905
IRCMYGHHKLLGHV-UHFFFAOYSA-N,279
JPMIIZHYYWMHDT-UHFFFAOYSA-N,46
QZUDBNBUXVUHMW-UHFFFAOYSA-N,85
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,101
VVBLNCFGVYUYGU-UHFFFAOYSA-N,60
QGHREAKMXXNCOA-UHFFFAOYSA-N,63
YWTYJOPNNQFBPC-UHFFFAOYSA-N,347
ODCWYMIRDDJXKW-UHFFFAOYSA-N,210
HZJKXKUJVSEEFU-UHFFFAOYSA-N,119
MXWJVTOOROXGIU-UHFFFAOYSA-N,189
NZCRJKRKKOLAOJ-XRCRFVBUSA-N,157
ZCVAOQKBXKSDMS-UHFFFAOYSA-N,44
SDYWXFYBZPNOFX-UHFFFAOYSA-N,17
AXRYRYVKAWYZBR-GASGPIRDSA-N,70
GBXSMTUPTTWBMN-XIRDDKMYSA-N,51
PCZOHLXUXFIOCF-BXMDZJJMSA-N,489
NUVBSKCKDOMJSU-UHFFFAOYSA-N,37
ASMQGLCHMVWBQR-UHFFFAOYSA-N,29
UIKROCXWUNQSPJ-VIFPVBQESA-N,113
MKXKFYHWDHIYRV-UHFFFAOYSA-N,26
CAWXEEYDBZRFPE-UHFFFAOYSA-N,124
BUGYDGFZZOZRHP-UHFFFAOYSA-N,91
PNVJTZOFSHSLTO-UHFFFAOYSA-N,105
JDSHMPZPIAZGSV-UHFFFAOYSA-N,35
WZJZMXBKUWKXTQ-UHFFFAOYSA-N,91
STJLVHWMYQXCPB-UHFFFAOYSA-N,160
