,Frequency,num_peaks,sum_all_matches,sum_all_cosine
GOJCZVPJCKEBQV-UHFFFAOYSA-N,6,27,831,16.925450927952742
YHMYGUUIMTVXNW-UHFFFAOYSA-N,6,19,621,15.145294388072344
ZQEIXNIJLIKNTD-UHFFFAOYSA-N,6,63,1696,19.389042647597698
RXLOZRCLQMJJLC-UHFFFAOYSA-N,6,58,910,12.884341573462162
GNOIPBMMFNIUFM-UHFFFAOYSA-N,6,13,64,1.6939260530143707
YWTYJOPNNQFBPC-UHFFFAOYSA-N,4,86,1301,12.408373295533714
XBZBRCVCSVLJJZ-UHFFFAOYSA-N,6,41,301,4.154580597016554
KCIDXSZMKJKCSV-UHFFFAOYSA-N,6,39,353,4.839872231936589
WMBWREPUVVBILR-WIYYLYMNSA-N,3,12,111,3.3640723453028687
OBZIQQJJIKNWNO-UHFFFAOYSA-N,5,48,796,7.9524031853880635
GVDRRZOORHCTAN-MJUUVYJYSA-N,6,55,1290,14.69814682634458
JWYUFVNJZUSCSM-UHFFFAOYSA-N,6,16,608,14.029999080713354
GGLIEWRLXDLBBF-UHFFFAOYSA-N,5,31,858,16.72040750474132
ICNFHJVPAJKPHW-UHFFFAOYSA-N,6,18,211,4.633611208740533
GZUITABIAKMVPG-UHFFFAOYSA-N,6,35,691,9.925670856769047
HKPHPIREJKHECO-UHFFFAOYSA-N,6,38,691,14.50143428656733
AFYCEAFSNDLKSX-UHFFFAOYSA-N,6,39,835,9.117147435549617
NJPQAIBZIHNJDO-UHFFFAOYSA-N,6,16,321,6.728417358958837
PKOFBDHYTMYVGJ-UHFFFAOYSA-N,6,39,747,14.299989807534885
FWQYJOPJMIEKHZ-UHFFFAOYSA-N,6,22,511,16.184429976684207
OXEUETBFKVCRNP-UHFFFAOYSA-N,6,29,305,4.006918965537066
ZLCUIOWQYBYEBG-UHFFFAOYSA-N,5,51,1635,21.06569768003827
DMSMPAJRVJJAGA-UHFFFAOYSA-N,3,16,486,10.306516116683952
OUGIDAPQYNCXRA-UHFFFAOYSA-N,6,32,770,13.496406701854788
GNBHRKFJIUUOQI-UHFFFAOYSA-N,6,61,751,5.794581500077088
PXMNMQRDXWABCY-UHFFFAOYSA-N,6,12,107,7.913544407038724
JWAZRIHNYRIHIV-UHFFFAOYSA-N,6,29,1405,27.748435404924326
RAVIZVQZGXBOQO-UHFFFAOYSA-N,6,26,94,1.928308453938345
JNELGWHKGNBSMD-UHFFFAOYSA-N,6,18,825,15.708090178992103
GZVHEAJQGPRDLQ-UHFFFAOYSA-N,6,19,193,6.069126296387253
DNTGGZPQPQTDQF-UHFFFAOYSA-N,6,42,955,14.894484479338146
IPKKHRVROFYTEK-UHFFFAOYSA-N,6,29,557,15.548295663038527
VHRSUDSXCMQTMA-PJHHCJLFSA-N,6,329,7634,42.44783672503312
CMEWLCATCRTSGF-UHFFFAOYSA-N,6,33,609,8.728163225100039
WUZNHSBFPPFULJ-UHFFFAOYSA-N,5,51,433,7.2842406307379095
ZDKIAVFEUPUCMR-UHFFFAOYSA-N,6,78,1742,18.90505756846266
AQSQFWLMFCKKMG-UHFFFAOYSA-N,6,16,286,11.60488074315098
VKHAHZOOUSRJNA-GCNJZUOMSA-N,6,306,6454,40.1660169535499
VHHGUBHZBLPTKL-UHFFFAOYSA-N,6,23,743,12.709969925443392
NEBPTMCRLHKPOB-UHFFFAOYSA-N,6,16,261,4.969600897843251
JUVSRZCUMWZBFK-UHFFFAOYSA-N,6,40,811,13.534383083844899
XDOTVMNBCQVZKG-MKICQXMISA-N,4,21,164,3.6522536108022
ASOKPJOREAFHNY-UHFFFAOYSA-N,6,28,425,5.314156854781193
BJELTSYBAHKXRW-UHFFFAOYSA-N,6,67,1656,21.805159821499586
YVUQSNJEYSNKRX-UHFFFAOYSA-N,6,53,868,10.295360259454513
HEZNVIYQEUHLNI-UHFFFAOYSA-N,6,78,1655,17.896642490363
FXKFFTMLFPWYFH-RDGPPVDQSA-N,6,95,2105,18.67447027174778
XDNBJTQLKCIJBV-UHFFFAOYSA-N,6,88,259,4.034410097456818
BEZZFPOZAYTVHN-UHFFFAOYSA-N,6,43,243,2.940004078760891
MWKVXOJATACCCH-UHFFFAOYSA-N,6,68,1227,12.950739829020932
AHSGHEXYEABOKT-UHFFFAOYSA-N,2,3,57,4.373386945060473
HXHWSAZORRCQMX-UHFFFAOYSA-N,6,25,136,1.5707763697130193
TWPMMLHBHPYSMT-UHFFFAOYSA-N,6,36,1503,24.830250144739406
VAIZTNZGPYBOGF-UHFFFAOYSA-N,5,39,1073,29.332785338340038
CJPQIRJHIZUAQP-UHFFFAOYSA-N,5,26,1113,28.49625301602461
PZBPKYOVPCNPJY-UHFFFAOYSA-N,6,51,703,8.476906654703638
KNDQHSIWLOJIGP-UHFFFAOYSA-N,5,21,623,10.561715316082143
HSUIVCLOAAJSRE-UHFFFAOYSA-N,3,5,41,1.9507425357371944
YFNCATAIYKQPOO-UHFFFAOYSA-N,6,48,705,13.822296173794344
FFGPTBGBLSHEPO-UHFFFAOYSA-N,6,26,347,6.4715375649778455
QZXATCCPQKOEIH-UHFFFAOYSA-N,6,10,65,2.489812668068347
YLDDCEXDGNXCIO-UHFFFAOYSA-N,6,40,1333,23.048274843101648
STMIIPIFODONDC-UHFFFAOYSA-N,6,13,104,8.16883476467218
PNRAZZZISDRWMV-UHFFFAOYSA-N,6,18,181,4.2307560498623635
ADIMAYPTOBDMTL-UHFFFAOYSA-N,6,52,899,13.010074743184108
XPAZGLFMMUODDK-UHFFFAOYSA-N,6,19,106,2.6028624094076114
APTZNLHMIGJTEW-UHFFFAOYSA-N,6,123,393,3.0866852952159562
HZJKXKUJVSEEFU-UHFFFAOYSA-N,6,17,197,8.942556637114183
XOGPDSATLSAZEK-UHFFFAOYSA-N,6,47,723,9.397079542826361
CNIGFESSDPOCKS-CYBMUJFWSA-N,6,20,246,3.5489997405524605
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,6,13,128,9.76010424164327
FSVJFNAIGNNGKK-UHFFFAOYSA-N,5,36,900,14.06487129157939
JRBJSXQPQWSCCF-UHFFFAOYSA-N,6,32,264,2.9040684396306444
RXCPQSJAVKGONC-UHFFFAOYSA-N,6,13,75,2.5022926318115775
WZZLDXDUQPOXNW-UHFFFAOYSA-N,12,36,153,2.786774478900851
YVIXXPCJZAUQHJ-UHFFFAOYSA-N,6,40,1765,33.38534582312351
RRVIAQKBTUQODI-UHFFFAOYSA-N,6,20,258,6.0595021120192785
AFIIBUOYKYSPKB-UHFFFAOYSA-N,5,63,511,8.459383399442435
HDHLIWCXDDZUFH-UHFFFAOYSA-N,6,49,601,10.192318219841209
RQVYBGPQFYCBGX-UHFFFAOYSA-N,6,44,376,8.452956650063745
ZMYFCFLJBGAQRS-UHFFFAOYSA-N,6,39,924,16.008722879715943
HSHNITRMYYLLCV-UHFFFAOYSA-N,11,83,3018,35.457478096714084
MMCJEAKINANSOL-UHFFFAOYSA-N,6,23,794,17.208752212954263
YGUFQYGSBVXPMC-UHFFFAOYSA-N,6,25,155,2.794921931618248
UFEODZBUAFNAEU-NLRVBDNBSA-N,6,167,2078,18.387588196045463
GMBRUAIJEFRHFQ-UHFFFAOYSA-N,6,56,532,6.0354572006123535
FQNKTJPBXAZUGC-UHFFFAOYSA-N,6,109,1892,21.692165276862642
ZNNLBTZKUZBEKO-UHFFFAOYSA-N,6,33,1336,19.359515929499487
NBNTWDUNCHRWMT-UHFFFAOYSA-N,6,23,372,7.859976737231789
QASFUMOKHFSJGL-LAFRSMQTSA-N,6,128,4320,35.64244859003713
JNRLEMMIVRBKJE-UHFFFAOYSA-N,6,40,450,6.522843165308313
PXWUKZGIHQRDHL-UHFFFAOYSA-N,6,58,397,6.467382686114423
HFCYZXMHUIHAQI-UHFFFAOYSA-N,6,30,692,9.088977148649949
AEMFNILZOJDQLW-QAGGRKNESA-N,5,23,1029,15.875790527940008
DOIRQSBPFJWKBE-UHFFFAOYSA-N,6,54,2887,46.53077236842876
STJLVHWMYQXCPB-UHFFFAOYSA-N,6,23,265,7.499972201646547
KQSABULTKYLFEV-UHFFFAOYSA-N,6,31,588,9.862483778156388
MROJXXOCABQVEF-UHFFFAOYSA-N,6,11,187,7.966952235767609
